Question,Answer
What is the Programming 2 module about?,This module builds on the object-oriented concepts and programming language features covered in the 'Programming 1' module and provides a solid grounding in the principles and practice of object-oriented programming and the use of the Unified Modelling Language (UML) for code visualisation. On completion of this module students will be able to develop and test complete object oriented applications and to refactor existing applications.
What SHE level is the Programming 2 module?,The Programming 2 module's SHE level is 2.
How much SCQF credit points is the Programming 2 module worth?,The Programming 2 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Programming 2 module worth?,The Programming 2 module is worth 10.00 ECTS credit points.
What is the module code for the Programming 2 module?,The module code's for Programming 2 is: M2I322911 -M2I325089 -M2I325618 -M2I324178.
Who is the module leader for the Programming 2 module?,The module leader's for Programming 2 is: Martin Callacher -Richard Holden.
When does the Programming 2 module actually start?,The module Programming 2 will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Programming 2 module?,There are 2 components for the Programming 2 assessment's one being a exam weighting at 50.00 with a threshold of 35% -another being coursework with a weighting of 50.00 with a threshold of 35%.
What is the Programming Paradigms module about?,Programming paradigms provide a way to classify programming languages based on their features. This module is concerned with the nature of programming languages and the appropriate uses of a range of languages- including their use in concurrent applications. It will equip students with a broad understanding of a range of programming paradigms and the support provided for each paradigm in currently popular programming languages. Thus it will equip students to be able to make appropriate choices to best meet the requirements of a specific programming problem. The module will focus in greater depth on the principles and techniques of functional programming- and on low-level programming using the capabilities available in an appropriate compiled language. The module also introduces a range of concurrent programming techniques and the support provided for these at operating system level and in high level languages. The module will additionally provide coverage of current and emerging programming paradigms- languages and techniques.
What SHE level is the Programming paradigms module?,The Programming Paradigms module's SHE level is 4.
How much SCQF credit points is the Programming Paradigms module worth?,The Programming Paradigms module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Programming Paradigms module worth?,The Programming Paradigms module is worth 10.00 ECTS credit points.
What is the module code for the Programming Paradigms module?,The module code for Programming Paradigms is: MHI325688.
Who is the module leader for the Programming Paradigms module?,The module leader for Programming Paradigms is: James Paterson.
When does the Programming Paradigms module actually start?,The module Programming Paradigms will start in trimester A -september start.
How is the assessment's split up for the Programming Paradigms module?,There are 2 components for the Programming Paradigms assessment's one being a exam weighting at 50.00 with a threshold of 35% -another being coursework with a weighting of 50.00 with a threshold of 35%.
What is the Project Management- Software Processes And Ethics module about?,This module seeks to develop understanding and practical skills in advanced project management techniques which are in line with industry standards and are applicable to large scale software and information based projects. This will also include the management of the software engineering processes within the overall project framework. It aims to study this in an integrated fashion to ensure that the ethical framework within which such projects are developed and deployed are fully understood.
What SHE level is the Project Management- Software Processes And Ethics module?,The Project Management- Software Processes And Ethics module's SHE level is 5.
How much SCQF credit points is the Project Management- Software Processes And Ethics module worth?,The Project Management- Software Processes And Ethics module is worth 30.00 SCQF credit points.
How much ECTS credit points is the Project Management- Software Processes And Ethics module worth?,The Project Management- Software Processes And Ethics module is worth 15.00 ECTS credit points.
What is the module code for the Project Management- Software Processes And Ethics module?,The module code for Project Management- Software Processes And Ethics is: MMN222917.
Who is the module leader for the Project Management- Software Processes And Ethics module?,The module leader for Project Management- Software Processes And Ethics is: n/a.
When does the Project Management- Software Processes And Ethics module actually start?,The module Project Management- Software Processes And Ethics will start in trimester A -september start.
How is the assessment's split up for the Project Management- Software Processes And Ethics module?,There are 2 components for the Project Management- Software Processes And Ethics assessment's one being a exam weighting at 50.00 with a threshold of 45% -another being coursework with a weighting of 50.00 with a threshold of 45%.
What is the Research Skills And Professional Issues module about?,This module provides the research skills and professional issues knowledge necessary to underpin degree and honours level project work. It will also consider research and development as undertaken in professional practice- as well as the recognition of the legal- social- ethical and professional issues involved in the exploitation of software systems or digital and computer technology- as appropriate to the area of study . This module provides detailed coverage of the research skills required to underpin the final honours project and to prepare for professional practice and includes the review of a variety of research methods and their applicability to a range of contexts. It further develops scholarly study skills- analytical writing skills- and presentation skills. The final coursework for this module will be an individual project proposal. Note: Subject-based module co-ordinators will advise students on suitable topics for project proposals. It is recognised that some programmes will have a requirement for a specific project type to ensure external body accreditation.
What SHE level is the Research Skills And Professional Issues module?,The Research Skills And Professional Issues module's SHE level is 3.
How much SCQF credit points is the Research Skills And Professional Issues module worth?,The Research Skills And Professional Issues module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Research Skills And Professional Issues module worth?,The Research Skills And Professional Issues module is worth 10.00 ECTS credit points.
What is the module code for the Research Skills And Professional Issues module?,The module code's for Research Skills And Professional Issues is: M3I324191 -M3I325099.
Who is the module leader for the Research Skills And Professional Issues module?,The module leader's for Research Skills And Professional Issues is: James Paterson -Fathiya Mohammed.
When does the Research Skills And Professional Issues module actually start?,The module Research Skills And Professional Issues will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Research Skills And Professional Issues module?,There are 2 components for the Research Skills And Professional Issues assessment's one being coursework1 weighting at 30.00 with a threshold of n/a -another being coursework2 with a weighting of 70.00 with a threshold of n/a.
What is the Research Skills And Professional Issues (CSN) module about?,This module provides the research skills and professional issues knowledge necessary to underpin degree and honours level project work. It will also consider research and development as undertaken in professional practice- as well as the recognition of the legal- social- ethical and professional issues involved in the exploitation of software systems or digital and computer technology- as appropriate to the area of study. This module provides detailed coverage of the research skills required to underpin the final honours project and to prepare for professional practice and includes the review of a variety of research methods and their applicability to a range of contexts. It further develops scholarly study skills- analytical writing skills- and presentation skills. The final coursework for this module will be an individual project proposal. Note: Subject-based module co-ordinators will advise students on suitable topics for project proposals. It is recognised that some programmes will have a requirement for a specific project type to ensure external body accreditation.
What SHE level is the Research Skills And Professional Issues (CSN) module?,The Research Skills And Professional Issues (CSN) module's SHE level is 3.
How much SCQF credit points is the Research Skills And Professional Issues (CSN) module worth?,The Research Skills And Professional Issues (CSN) module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Research Skills And Professional Issues (CSN) module worth?,The Research Skills And Professional Issues (CSN) module is worth 10.00 ECTS credit points.
What is the module code for the Research Skills And Professional Issues (CSN) module?,The module code for Research Skills And Professional Issues (CSN) is: M3I323074.
Who is the module leader for the Research Skills And Professional Issues (CSN) module?,The module leader for Research Skills And Professional Issues (CSN) is: Alireza Shahrabi-Farahani.
When does the Research Skills And Professional Issues (CSN) module actually start?,The module Research Skills And Professional Issues (CSN) will start in trimester B -january start.
How is the assessment's split up for the Research Skills And Professional Issues (CSN) module?,There are 2 components for the Research Skills And Professional Issues (CSN) assessment's one being coursework1 weighting at 30.00 with a threshold of 35% -another being coursework2 with a weighting of 70.00 with a threshold of 35%.
What is the Software Development And Database Systems module about?,This module seeks to develop Object Oriented programming skills along with Database Development Skills in an integrated way to develop the principles required to produce a N tier System Architecture.
What SHE level is the Software Development And Database Systems module?,The Software Development And Database Systems module's SHE level is 5.
How much SCQF credit points is the Software Development And Database Systems module worth?,The Software Development And Database Systems module is worth 30.00 SCQF credit points.
How much ECTS credit points is the Software Development And Database Systems module worth?,The Software Development And Database Systems module is worth 15.00 ECTS credit points.
What is the module code for the Software Development And Database Systems module?,The module code for Software Development And Database Systems is: MMI322918.
Who is the module leader for the Software Development And Database Systems module?,The module leader for Software Development And Database Systems is: Jim Devon.
When does the module Software Development and Database Systems start?,The module Software Development And Database Systems will start in trimester B -january start.
How is the assessment's split up for the Software Development And Database Systems module?,There are 2 components for the Software Development And Database Systems assessment's one being a exam weighting at 50.00 with a threshold of 45% -another being coursework with a weighting of 50.00 with a threshold of 45%.
What is the Systems Programming module about?,This module investigates the knowledge and skills necessary to program multi-module application and systems programs using operating system and API libraries. The syllabus covers Linux shell script programming- programming operating system features using standard libraries and basic network programming. The material is supported by systems programming exercises including the coding of operating systems utilities and the use of sockets programming to code a client-server application.
What is the SHE level of the Systems Programming module?,The Systems Programming module's SHE level is 3.
How much SCQF credit points is the Systems Programming module worth?,The Systems Programming module is worth 20.00 SCFQ credit points.
How much ECTS credit points is the Systems Programming module worth?,The Systems Programming module is worth 10.00 ECTS credit points.
What is the module code for the Systems Programming module?,The module code's for Systems Programming module is: M3I324183 -M3I322922 -M3I325097.
Who is the module leader for the Systems Programming module?,The module leader's for Systems Programming is: Brian Hainey -Iain Lambie.
When does the Systems Programming module actually start?,The module Systems Programming will either start in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Systems Programming module?,There are 2 components for the Systems Programming assessment's one being coursework1 weighting at 50.00 with a threshold of n/a -another being coursework2 with a weighting of 50.00 with a threshold of n/a.
What is the Web Application Development 1 module about?,This module will provide students with the knowledge- understanding and skills required to develop Web Platform applications. A range of standards associated with Web development will be covered as well as the client server architecture specific to Web development.
What SHE level is the Web Application Development 1 module?,The Web Application Development 1 module's SHE level is 2.
How much SCQF credit points is the Web Application Development 1 module worth?,The Web Application Development 1 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Web Application Development 1 module worth?,The Web Application Development 1 module is worth 10.00 ECTS credit points.
What is the module code for the Web Application Development 1 module?,The module code for Web Application Development 1 is: M1I325626.
Who is the module leader for the Web Application Development 1 module?,The module leader for Web Application Development 1 is: Brian Shields.
When does the Web Application Development 1 module actually start?,The module Web Application Development 1 will start in trimester B -january start.
How is the assessment's split up for the Web Application Development 1 module?,There is 1 component for the Web Application Development 1 assessment which is coursework weighting at 100.00 with a threshold of 40%.
What is the Web Application Development 2 module about?,This module equips the students with the knowledge and understanding to design- implement and deploy scalable web applications consisting of a web browser client interacting with a server which uses a database as well as external services. Students examine web application platforms- architectures and design patterns including the Model-View-Controller design pattern. Aspects of practical importance such as testing- tooling and security are covered in a web application context.
What SHE level is the Web Application Development 2 module?,The Web Application Development 2 module's SHE level is 3.
How much SCQF credit points is the Web Application Development 2 module worth?,The Web Application Development 2 module is worth 20.00 SCQF credit level.
How much ECTS credit points is the Web Application Development 2 module worth?,The Web Application Development 2 module is worth 10.00 ECTS credit level.
What is the module code for the Web Application Development 2 module?,The module code for Web Application Development 2 is: M3I325640.
Who is the module leader for the Web Application Development 2 module?,The module leader for Web Application Development 2 is: Katrin Hartmann.
When does the the Web Application Development 2 module actually start?,The module Web Application Development 2 will start in trimester A -september start.
How is the assessment's split up for the Web Application Development 2 module?,There are 2 component for the Web Application Development 1 assessment's which is coursework1 weighting at 50.00 with a threshold of 35% -another being coursework2 with a weighting at 70.00 with a threshold of 35%.
What is the Web Design Fundamentals module about?,The aim of this module is to provide students coming from a digital design background with the knowledge- understanding and skills required to design interactive web sites and to implement these sites with respect to current publishing standards.
What SHE level is the Web Design Fundamentals module?,The Web Design Fundamentals module's SHE level is 3.
How much SCQF credit points is the Web Design Fundamentals module worth?,The Web Design Fundamentals module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Web Design Fundamentals module worth?,The Web Design Fundamentals module is worth 10.00 ECTS credit points.
What is the module code for the Web Design Fundamentals module?,The module code's for Web Design Fundamentals is: M3I325634 -M2I322921.
Who is the module leader for the Web Design Fundamentals module?,The module leader for Web Design Fundamentals is: Iain Fergus.
When does the Web Design Fundamentals module actually start?,The module Web Design Fundamentals  will start in trimester A -september start.
How is the assessment's split up for the Web Design Fundamentals module?,There is 1 component for the Web Design Fundamentals assessment which is coursework weighting at 100.00 with a threshold of n/a.
What is the Web Design Technologies module about?,The module builds on the concepts introduced in Web Design Fundamentals to provide students with the technical and software skills required to support the development of interactive data driven systems using a combination of server side and client side technologies.
What SHE level is the Web Design Technologies module?,The Web Design Technologies module's SHE level is 3.
How much SCQF credit points is the Web Design Technologies module worth?,The Web Design Technologies module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Web Design Technologies module worth?,The Web Design Technologies module is worth 10.00 ECTS credit points.
What is the module code for the Web Design Technologies module?,The module code's for Web Design Technologies is: M3I324184 -M3I322923.
Who is the module leader for the Web Design Technologies module?,The moudle leader for Web Design Technologies module is: Fiona Fairlie.
When does the Web Design Technologies module actually start?,The module Web Design Technologies will either start in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Web Design Technologies module?,There is 1 component for the Web Design Technologies assessment which is coursework weighting at 100.00 with a threshold of 35%.
What is the Web Platform Development 1 module about?,This module will provide students with the knowledge- understanding and skills required to develop Web Platform applications. A range of standards associated with Web development will be covered as well as the client server architecture specific to Web development.
What SHE level is the Web Platform Development 1 module?,The Web Platform Development 1 module's SHE level is 1.
How much SCQF credit points is the Web Platform Development 1 module worth?,The Web Platform Development 1 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Web Platform Development 1 module worth?,The Web Platform Development 1 module is worth 10.00 ECTS credit points.
What is the module code for the Web Platform Development 1 module?,The module code's for Web Platform Development 1 is: M1I322910 -M1I323901 -M1I325084.
Whos is the module leader for the Web Platform Development 1 module?,The module leader's for Web Platform Development 1 is: Brian Shields -Anthony Gilroy.
When does the Web Platform Development 1 module actually start?,The module Web Platform Development 1 will start either in trimester A -september start or trimester B -january start.
How is the assessment's split up for the Web Platform Development 1 module?,There is 1 component for the Web Platform Development 1 assessment which is coursework weighting at 100.00 with a threshold of 40%.
What is the Web Platform Development 2 module about?,This module equips the students with the knowledge and understanding to design- implement and deploy scalable web applications consisting of a web browser client interacting with a server which uses a database as well as external services. Students examine web application platforms- architectures and design patterns including the Model-View-Controller design pattern. Aspects of practical importance such as testing- tooling and security are covered in a web application context.
What SHE level is the Web Platform Development 2 module?,The Web Platform Development 2 module's SHE level is 3.
How much SCQF credit points is the Web Platform Development 2 module worth?,The Web Platform Development 2 module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Web Platform Development 2 module worth?,The Web Platform Development 2 module is worth 10.00 ECTS credit points. 
What is the module code for the Web Platform Development 2 module?,The module code's for Web Platform Development 2 is: M3I322955 -M3I324182 -M3I325098.
Who is the module leader for the Web Platform Development 2 module?,The module leader for Web Platform Development 2 is: Katrin Hartmann.
When does the Web Platform Development 2 module actually start?,The module Web Platform Development 2 will start either in trimester A -september start -trimester B -january start or trimester C -may start.
How is the assessment's split up for the  Web Platform Development 2?,There are 2 components for the  Web Platform Development 2 assessment's which is coursework1 weighting at 50.00 with a threshold of n/a -another being coursework2 with a weighting of 50% with a threshold of n/a.
What is the Web Systems Development And Interaction Design module about?,The module provides prospective students with detailed technical and personal skills required to support the development of interactive database driven systems and rich internet applications (RIA's) using a combination of server side and client side web technologies. The syllabus covers web authoring techniques- interface design- data formats and services- database integration and security implications for design and delivery of web applications. In essence the student will study the methods- models- tools and techniques required to build and host secure web applications- with sophisticated and responsive interfaces- using the latest interactive technologies.
What SHE level is the Web Systems Development And Interaction Design module?,The Web Systems Development And Interaction Design module's SHE level is 5.
How much SCQF credit points is the Web Systems Development And Interaction Design module worth?,The Web Systems Development And Interaction Design module is worth 30.00 SCQF credit points.
How much ECTS credit points is the Web Systems Development And Interaction Design module worth?,The Web Systems Development And Interaction Design module is worth 15.00 ECTS credit points.
What is the module code for the Web Systems Development And Interaction Design module?,The module code for Web Systems Development And Interaction Design is: MMI322919.
Who is the module leader for the Web Systems Development And Interaction Design module?,The module leader for Web Systems Development And Interaction Design is: Jim Devon.
When does the Web Systems Development And Interaction Design module actually start?,The module Web Systems Development And Interaction Design will start in trimester B -january start.
How is the assessment's split up for Web Systems Development And Interaction Design module?,There are 2 components for the Web Systems Development And Interaction Design assessment's which is a exam weighting at 50.00 with a threshold of 45% -another being coursework with a weighting of 50% with a threshold of 45%.
When can i ask the IT Helpdesk additional questions i have about a specific module?,The IT Helpdesk's opening hours will be weekdays from 8:30am until 9:00 pm and for weekends 9:00am until 6:00pm - were you can ask questions about your courses modules.
What can i do if i have lost my degree certificate?,In order to get a replacment you will need to contact the Graduation and Awards Unit which can be found in the Registry Department- you can also consult this link for more information:https://www.gcu.ac.uk/student/study/graduation/aftergraduation/.
What does SCQF stand for?,The term SCQF stand's for Scottish Credit and Qualifications Framework which has been set up to help make the releationship for qulifications more clear-This is typically split up into two components one being level of th module and the other being credit which will illustrate the overall credit size for the module.
What does ECTS stand for?,The term ECTS stand's for European Credit Transfer System which is used as a way of viewing your modules as academic currency-For more information on this subject visit the following link: https://studies.ku.dk/masters/security-risk-management/programme-structure/ects/.
What soes SHE stand for?,The term SHE stand's for Saftey- Health and Environmental qualification level.
What skills will i gain when undertaking the 3D Mathematics For Simulation And Visulization module?,The transferrable skill's that will be gained from completion  of 3D Mathematics For Simulation And Visulization will be :D1 Critical thinking and problem solving. D2 Cognitive/intellectual skills. D3 Knowledge and understanding in the context of the subject. D6 Independent working. D12 IT skills D13 Communication skills- written- oral and listening. D14 Numeracy skills.
What skills will i gain when undertaking the Advanced Programming module?,The transferable skill's that will be gained from completion of Advanced Programming will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D10 Creativity- innovation & independent thinking D15 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Application Architecture And Design Patterns module?,The transferable skill's that will be gained from completion of Application Architecture And Design Patterns will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Numeracy Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Creativity- innovation & independent thinking Ability to prioritise tasks and time management Interpersonal skills- team working and leadership.
What skills will i gain when undertaking the Big Data module?,The transferable skill's that will be gained from completion of Big Data  will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D10 Creativity- innovation & independent thinking D15 Ability to prioritise tasks and time management D18 Commercial awareness.
What skills will i gain when undertaking the Big Data Platforms module?,The transferable skill's that will be gained from completion of Big Data Platforms will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D7 Computer literacy D8 Self-confidence- self-discipline & self-reliance (independent working) D10 Creativity- innovation & independent thinking D14 Ability to prioritise tasks and time management D17 Commercial awareness.
What skills will i gain when undertaking the Buisness Process Modelling module?,The transferable skill's that will be gained from completion of Business Process Modelling will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical Analysis D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D10 Creativity- innovation & independent thinking D15 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Client Side Web Development module?,The transferable skill's that will be gained from completion of Client Side Web Development will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D4 Communication skills- written- oral and listening D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D10 Creativity- innovation & independent thinking D15 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Cloud Computing And Web Services module?,The transferable skill's that will be gained from completion of Cloud Computing And Web Services will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self-confidence- self-discipline & self-reliance (independent working) D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D14 Ability to prioritise tasks and time management D17 Commercial awareness.
What skills will i gain when undertaking the Cloud Platform Development module?,The transferable skill's that will be gained from completion of Cloud Platform Development will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D18 Commercial awareness.
What skills will i gain when undertaking the Cloud Software Engineering module?,The transferable skill's that will be gained from completion of Cloud Software Engineering will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self-confidence- self-discipline & self-reliance (independent working) D11 Knowledge of international affairs D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D14 Ability to prioritise tasks and time management D17 Commercial awareness.
What skills will i gain when undertaking the Cloud Systems And Security module?,The transferable skill's that will be gained from completion of Cloud Systems And Security will be :TRADITIONAL ACADEMIC SKILLS - specialist knowledge- ability to apply knowledge- critical analysis- problem-solving- written and spoken communication- computer literacy and research skills. PERSONAL DEVELOPMENT SKILLS - self-confidence- self-discipline- self-reliance- creativity. ENTERPRISE OR BUSINESS SKILLS - ability to prioritise tasks- time management- interpersonal skills- innovation.
What skills will i gain when undertaking the Cloud Virtualisation Security module?,The transferable skill's that will be gained from completion of Cloud Virtualisation Security will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D8 Self-confidence- self-discipline & self-reliance (independent working) D9 Awareness of strengths and weaknesses D10 Creativity- innovation & independent thinking D13 Reliability- integrity- honesty and ethical awareness D14 Ability to prioritise tasks and time management D15 Interpersonal skills- team working and leadership D16 Presentation skills.
What skills will i gain when undertaking the Data Structures And Algorithms module?,The transferable skill's that will be gained from completion of Data Structures And Algorithms will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D10 Creativity- innovation & independent thinking D15 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Database Development module?,The transferable skill's that will be gained from completion of Database Development will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D15 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Devops module?,The transferable skill's that will be gained from completion of Devops will be : Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Numeracy Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Creativity- innovation & independent thinking Ability to prioritise tasks and time management Interpersonal skills- team working and leadership.
What skills will i gain when undertaking the Dissertation module?,The transferable skill's that will be gained from completion of the Dissertation will be :Thinking skills: D1 Critical thinking and problem solving D2 Cognitive/intellectual skills D3 Knowledge and understanding in the context of the subject Key life skills: D4 Learning style and orientation to learning D5 Time management: organising and planning work D6 Independent working Practical skills D9 Information Retrieval Skills D13 Communication skills- written- oral and listening D14 Numeracy skills.
What skills will i gain when undertaking the Front-End Web Development module?,The transferable skill's that will be gained from completion of Front-End Web Development will be :Specialist knowledge and application Critical thinking and problem solving Communication skills- written- oral and listening Computer literacy Self confidence- self discipline & self reliance (independent working) Creativity- innovation & independent thinking Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Fundamentals Of Computing module?,The transferable skill's that will be gained from completion of Fundamentals Of Computing will be :Logical thinking and problem solving Critical analysis Communication skills (Electronic- written- oral and listening) necessary to make effective presentation of a technical nature (information- ideas- problems and their solutions) to a range of audiences. Numeracy in both understanding and presenting cases involving a quantitative dimension. Creativity- innovation and independent thinking. Appreciating and desiring the need for reflection and planning for self -learning and improving performance as the foundation for CPD and Life long learning. Ability to prioritise tasks and time management (organising and planning work). Interpersonal skills- the ability to work as a member of a team (work with and relate effectively to others) recognising.
What skills will i gain when undertaking the Fundamentals Of Network And Cloud Computing module?,The transferable skill's that will be gained from completion of Fundamentals Of Network And Cloud Computing will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Numeracy Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Ability to prioritise tasks and time management Commercial awareness.
What skills will i gain when undertaking the Fundamentals Of Software Engineering module?,The transferable skill's that will be gained from completion of Fundamentals Of Software Engineering will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D10 Creativity- innovation & independent thinking D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D15 Ability to prioritise tasks and time management D18 Commercial awareness.
What skills will i gain when undertaking the Honours Project module?,The transferable skill's that will be gained from completion of Honours Project will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D6 Effective information retrieval and research skills D7 Computer literacy D8 Self-confidence- self-discipline & self-reliance (independent working) D9 Awareness of strengths and weaknesses D10 Creativity- innovation and independent thinking D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D15 Ability to prioritise tasks and time management D17 Presentation skills.
What skills will i gain when undertaking the Honours Project (CCIS) module?,The transferable skill's that will be gained from completion of Honours Project (CCIS) will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D6 Effective information retrieval and research skills D7 Computer literacy D8 Self-confidence- self-discipline & self-reliance (independent working) D9 Awareness of strengths and weaknesses D10 Creativity- innovation and independent thinking D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D15 Ability to prioritise tasks and time management D17 Presentation skills.
What skills will i gain when undertaking the Honours Project (Development) module?,The transferable skill's that will be gained from completion of Honours Project (Development) will be :TRADITIONAL ACADEMIC SKILLS - specialist knowledge- ability to apply knowledge- logical thinking- critical analysis- problem-solving- written and spoken communication- computer literacy and research skills. PERSONAL DEVELOPMENT SKILLS - self-discipline- self-reliance- creativity- independence- ability to reflect. ENTERPRISE OR BUSINESS SKILLS - ability to prioritise tasks- time management- interpersonal skills- presentational skills- flexibility- innovation- independence.
What skills will i gain when undertaking the Industrial Placement module?,The transferable skill's that will be gained from completion of Industrial Placement will be :Verbal and written communication at a personal and technical level. The ability to work collectively with others within an Information Systems Engineering workplace environment. Self-development in a professional situation. Evaluation of own strengths and weaknesses.
What skills will i gain when undertaking the Integrated Project 1 module?,The transferable skill's that will be gained from completion of Integrated Project 1 will be :D2 Critical thinking and problem solving. D4 Communication skills- written- oral and listening. D6 Effective Information retrieval and research skills. D7 Computer literacy. D8 Self confidence- self discipline & self reliance (independent working). D9 Awareness of strengths and weaknesses. D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D15 Ability to prioritise tasks and time management (organising and planning work). D16 Interpersonal skills- team working and leadership. D17 Presentation skills. D18 Commercial awareness (Narrative).
What skills will i gain when undertaking the Integrated Project 1 (CCIS) module?,The transferable skill's that will be gained from completion of Integrated Project 1 (CCIS) will be :D2 Critical thinking and problem solving. D4 Communication skills- written- oral and listening. D6 Effective Information retrieval and research skills. D7 Computer literacy. D8 Self confidence- self discipline & self reliance (independent working). D9 Awareness of strengths and weaknesses. D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D15 Ability to prioritise tasks and time management (organising and planning work). D16 Interpersonal skills- team working and leadership. D17 Presentation skills. D18 Commercial awareness (Narrative).
What skills will i gain when undertaking the Integrated Project 2 module?,The transferable skill's that will be gained from completion of Integrated Project 2 will be :Critical thinking and problem solving. Communication skills- written- oral and listening. Effective Information retrieval and research skills. Computer literacy. Self confidence- self discipline & self reliance (independent working). Awareness of strengths and weaknesses. Appreciating and desiring the need for continuing professional development Reliability- integrity- honesty and ethical awareness Ability to prioritise tasks and time management (organising and planning work). Interpersonal skills- team working and leadership. Presentation skills. Commercial awareness (Narrative).
What skills will i gain when undertaking the Integrated Project 2 (CCIS) module?,The transferable skill's that will be gained from completion of Integrated Project 2 (CCIS) will be :Critical thinking and problem solving. Communication skills- written- oral and listening. Effective Information retrieval and research skills. Computer literacy. Self confidence- self discipline & self reliance (independent working). Awareness of strengths and weaknesses. Appreciating and desiring the need for continuing professional development Reliability- integrity- honesty and ethical awareness Ability to prioritise tasks and time management (organising and planning work). Interpersonal skills- team working and leadership. Presentation skills. Commercial awareness (Narrative) Gain additional industry focussed competence in the application of the knowledge and practical skills obtained on this programme Develop an understanding of the practical considerations that constrain the application of theory in the workplace Communicate and interact effectively in a work place environment.
